miRNA_Acc.,Target_Genes,Total_Interactions,Mean_Expectation,Median_Expectation,Minimum_Expectation,Interactions_LE_1,Interactions_LE_2,Interactions_LE_3,Cleavage_Interactions,Translation_Repression_Interactions
aly-miR167a-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
aly-miR167b-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
aly-miR171c-5p,125,128,4.52734375,4.5,3.0,0,0,1,104,24
ata-miR167a-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ata-miR167c-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ata-miR167e-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ath-miR167a-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ath-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ath-miR171c-5p,125,128,4.52734375,4.5,3.0,0,0,1,104,24
bdi-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
bdi-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
bdi-miR167f,125,128,4.36328125,4.5,3.0,0,0,2,102,26
bna-miR167c,125,128,4.36328125,4.5,3.0,0,0,2,102,26
bra-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
bra-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
bra-miR167c,125,128,4.36328125,4.5,3.0,0,0,2,102,26
bra-miR167d,125,128,4.36328125,4.5,3.0,0,0,2,102,26
bra-miR5725,125,128,4.390625,4.5,2.5,0,0,5,93,35
cme-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
cme-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
cpa-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
cpa-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
dpr-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
dpr-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ghr-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ghr-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
gma-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
gma-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
gma-miR167d,125,128,4.36328125,4.5,3.0,0,0,2,102,26
gma-miR171c-5p,125,128,4.52734375,4.5,3.0,0,0,1,104,24
gma-miR396j,125,128,4.38671875,4.5,3.0,0,0,3,109,19
hbr-miR2118,125,128,4.37109375,4.5,3.0,0,0,6,111,17
hme-miR-2733,125,128,4.38671875,4.5,2.5,0,0,5,114,14
mdm-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
mdm-miR167c,125,128,4.36328125,4.5,3.0,0,0,2,102,26
mdm-miR167d,125,128,4.36328125,4.5,3.0,0,0,2,102,26
mdm-miR167e,125,128,4.36328125,4.5,3.0,0,0,2,102,26
mdm-miR167f,125,128,4.36328125,4.5,3.0,0,0,2,102,26
mdm-miR167g,125,128,4.36328125,4.5,3.0,0,0,2,102,26
mes-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
mes-miR167c,125,128,4.36328125,4.5,3.0,0,0,2,102,26
mtr-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
nta-miR167d,125,128,4.36328125,4.5,3.0,0,0,2,102,26
nta-miR167e,125,128,4.36328125,4.5,3.0,0,0,2,102,26
osa-miR167a-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
osa-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
osa-miR167c-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ptc-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ptc-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ptc-miR167c,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ptc-miR167d,125,128,4.36328125,4.5,3.0,0,0,2,102,26
ptc-miR477d-3p,125,128,4.3671875,4.5,2.5,0,0,5,111,17
pti-miR5483,125,128,4.25,4.5,2.5,0,0,12,111,17
rco-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
rco-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
sbi-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
sbi-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
sbi-miR167i,125,128,4.36328125,4.5,3.0,0,0,2,102,26
sly-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
stu-miR167a-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
stu-miR167b-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
stu-miR167c-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
stu-miR167d-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
stu-miR408a-3p,125,128,4.41796875,4.5,1.0,1,2,7,118,10
tae-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
tcc-miR167a,125,128,4.36328125,4.5,3.0,0,0,2,102,26
tcc-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
vvi-miR167b,125,128,4.36328125,4.5,3.0,0,0,2,102,26
vvi-miR167d,125,128,4.36328125,4.5,3.0,0,0,2,102,26
vvi-miR167e,125,128,4.36328125,4.5,3.0,0,0,2,102,26
zma-miR167a-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
zma-miR167b-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
zma-miR167c-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
zma-miR167d-5p,125,128,4.36328125,4.5,3.0,0,0,2,102,26
zma-miR169n-3p,125,128,4.45703125,4.5,2.5,0,0,2,118,10
ath-miR841a-3p,125,127,4.480314960629921,4.5,3.0,0,0,1,117,10
cca-miR390,125,127,4.381889763779528,4.5,2.0,0,1,12,103,24
gma-miR1521a,125,127,4.440944881889764,4.5,2.0,0,1,3,105,22
lja-miR7526a,125,127,4.34251968503937,4.5,3.0,0,0,8,94,33
lja-miR7526b,125,127,4.34251968503937,4.5,3.0,0,0,8,94,33
lja-miR7526c,125,127,4.34251968503937,4.5,3.0,0,0,8,94,33
lja-miR7526d,125,127,4.34251968503937,4.5,3.0,0,0,8,94,33
lja-miR7526e,125,127,4.34251968503937,4.5,3.0,0,0,8,94,33
lja-miR7526f,125,127,4.34251968503937,4.5,3.0,0,0,8,94,33
lja-miR7526g,125,127,4.34251968503937,4.5,3.0,0,0,8,94,33
lja-miR7526h,125,127,4.34251968503937,4.5,3.0,0,0,8,94,33
mtr-miR2111l,125,127,4.440944881889764,4.5,2.5,0,0,7,105,22
mtr-miR2607,125,127,4.448818897637795,4.5,1.0,1,2,3,108,19
nta-miR172b,125,127,4.299212598425197,4.5,1.5,0,3,9,97,30
ptc-miR6470,125,127,4.519685039370079,4.5,3.0,0,0,3,93,34
sly-miR167b-3p,125,127,4.322834645669292,4.5,2.5,0,0,4,100,27
aly-miR3435-3p,125,126,4.503968253968254,4.5,2.5,0,0,3,105,21
ath-miR780.1,125,126,4.430555555555555,4.5,3.0,0,0,3,101,25
ath-miR8165,125,126,4.349206349206349,4.5,2.5,0,0,11,106,20
bdi-miR7738-5p,125,126,4.277777777777778,4.5,2.0,0,1,9,110,16
csi-miR171a,125,126,4.436507936507937,4.5,1.0,1,1,8,96,30
esi-miR3463-3p,125,126,4.384920634920635,4.5,2.0,0,2,6,92,34
hme-miR-3327,125,126,4.339285714285714,4.5,2.0,0,1,4,112,14
osa-miR5077,125,126,4.587301587301587,4.5,3.0,0,0,3,114,12
osa-miR5794,125,126,4.420634920634921,4.5,3.0,0,0,2,99,27
pde-miR3712,125,126,4.154761904761905,4.5,1.5,0,1,13,107,19
sly-miR171d,125,126,4.436507936507937,4.5,1.0,1,1,8,96,30
tae-miR9664-3p,125,126,4.309523809523809,4.5,2.0,0,1,9,106,20
ath-miR8182,125,125,4.288,4.5,2.0,0,1,10,100,25
bdi-miR7741-3p.2,125,125,4.348,4.5,2.5,0,0,6,104,21
esi-miR3454b-3p,125,125,4.5,4.5,3.0,0,0,2,105,20
esi-miR3454f-3p,125,125,4.5,4.5,3.0,0,0,2,105,20
hbr-miR6171,125,125,4.38,4.5,2.0,0,2,6,100,25
mtr-miR2651,125,125,4.42,4.5,2.0,0,1,4,98,27
tae-miR9668-5p,125,125,4.376,4.5,2.0,0,1,10,108,17
mdm-miR159c,124,137,4.302919708029197,4.5,2.5,0,0,11,112,25
zma-miR395m-5p,124,134,4.152985074626866,4.0,1.5,0,3,15,112,22
aly-miR172c-3p,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
aly-miR172d-3p,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
aly-miR172f-3p,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
ath-miR172c,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
ath-miR172d-3p,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
bna-miR172d,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
bra-miR172c-3p,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
cme-miR172e,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
lja-miR172a,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
mdm-miR172m,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
mdm-miR172n,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
mdm-miR172o,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
nta-miR172a,124,132,4.049242424242424,4.0,0.5,3,8,18,108,24
nta-miR6145a,124,131,4.217557251908397,4.5,1.5,0,2,10,92,39
csi-miR477b,124,129,4.27906976744186,4.5,1.0,1,4,8,100,29
ahy-miR167-5p,124,128,4.3984375,4.5,3.0,0,0,2,99,29
aly-miR164c-5p,124,128,4.2265625,4.5,0.0,4,4,11,106,22
aly-miR868-5p,124,128,4.451171875,4.5,2.5,0,0,5,105,23
ath-miR164c-5p,124,128,4.2265625,4.5,0.0,4,4,11,106,22
bna-miR164b,124,128,4.2265625,4.5,0.0,4,4,11,106,22
bna-miR164c,124,128,4.2265625,4.5,0.0,4,4,11,106,22
bna-miR164d,124,128,4.2265625,4.5,0.0,4,4,11,106,22
bra-miR164b-5p,124,128,4.2265625,4.5,0.0,4,4,11,106,22
bra-miR164c-5p,124,128,4.2265625,4.5,0.0,4,4,11,106,22
bra-miR164d-5p,124,128,4.2265625,4.5,0.0,4,4,11,106,22
cme-miR167c,124,128,4.3984375,4.5,3.0,0,0,2,99,29
cpa-miR167c,124,128,4.3984375,4.5,3.0,0,0,2,99,29
csi-miR167b,124,128,4.3984375,4.5,3.0,0,0,2,99,29
gma-miR167e,124,128,4.3984375,4.5,3.0,0,0,2,99,29
gma-miR167f,124,128,4.3984375,4.5,3.0,0,0,2,99,29
mes-miR167g,124,128,4.3984375,4.5,3.0,0,0,2,99,29
mes-miR167h,124,128,4.3984375,4.5,3.0,0,0,2,99,29
ptc-miR167f-5p,124,128,4.3984375,4.5,3.0,0,0,2,99,29
ptc-miR167g-5p,124,128,4.3984375,4.5,3.0,0,0,2,99,29
tcc-miR167c,124,128,4.3984375,4.5,3.0,0,0,2,99,29
vvi-miR3626-3p,124,128,4.37109375,4.5,2.5,0,0,6,108,20
ath-miR774b-5p,124,127,4.340551181102362,4.5,2.0,0,1,6,111,16
bdi-miR7729a-5p,124,127,4.2362204724409445,4.0,2.0,0,1,9,97,30
bdi-miR7729b-5p,124,127,4.2362204724409445,4.0,2.0,0,1,9,97,30
cpa-miR8141,124,127,4.515748031496063,4.5,3.0,0,0,5,112,15
csi-miR319,124,127,4.261811023622047,4.5,2.0,0,4,13,107,20
osa-miR2099-3p,124,127,4.551181102362205,4.5,2.5,0,0,5,109,18
osa-miR444f,124,127,4.3700787401574805,4.5,2.5,0,0,8,108,19
sly-miR9472-3p,124,127,4.366141732283465,4.5,3.0,0,0,5,110,17
ssp-miR444a,124,127,4.3700787401574805,4.5,2.5,0,0,8,108,19
ssp-miR444b.2,124,127,4.3700787401574805,4.5,2.5,0,0,8,108,19
stu-miR8050-3p,124,127,4.413385826771654,4.5,3.0,0,0,8,100,27
tcc-miR319,124,127,4.261811023622047,4.5,2.0,0,4,13,107,20
vvi-miR319e,124,127,4.261811023622047,4.5,2.0,0,4,13,107,20
aly-miR156h-5p,124,126,4.339285714285714,4.5,1.5,0,7,10,93,33
aly-miR3441-3p.1,124,126,4.400793650793651,4.5,2.5,0,0,3,103,23
ath-miR156h,124,126,4.339285714285714,4.5,1.5,0,7,10,93,33
bdi-miR5181c-3p,124,126,4.376984126984127,4.5,2.0,0,2,6,105,21
mtr-miR2629a,124,126,4.261904761904762,4.5,2.0,0,1,8,105,21
mtr-miR2629b,124,126,4.261904761904762,4.5,2.0,0,1,8,105,21
mtr-miR2629c,124,126,4.261904761904762,4.5,2.0,0,1,8,105,21
mtr-miR2629d,124,126,4.261904761904762,4.5,2.0,0,1,8,105,21
mtr-miR2629e,124,126,4.261904761904762,4.5,2.0,0,1,8,105,21
mtr-miR2629f,124,126,4.261904761904762,4.5,2.0,0,1,8,105,21
mtr-miR2629g,124,126,4.261904761904762,4.5,2.0,0,1,8,105,21
nta-miR6025c,124,126,4.511904761904762,4.5,3.0,0,0,1,105,21
ppt-miR533b-5p,124,126,4.571428571428571,4.5,2.5,0,0,1,104,22
ptc-miR172h-5p,124,126,4.257936507936508,4.5,2.5,0,0,9,114,12
aly-miR156a-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
aly-miR156b-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
aly-miR156c-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
aly-miR156d-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
aly-miR156e-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
aly-miR156f-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
aly-miR4243,124,125,4.536,4.5,2.5,0,0,3,106,19
aly-miR861-3p,124,125,4.336,4.5,2.0,0,1,3,108,17
ata-miR156a-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ata-miR156b-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ata-miR156c-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ata-miR156d-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ata-miR156e-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ath-miR156a-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ath-miR156b-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ath-miR156c-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ath-miR156d-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ath-miR156e,124,125,4.272,4.5,1.0,7,8,10,109,16
ath-miR156f-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bdi-miR156b-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bdi-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
bdi-miR156d-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bdi-miR156e-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bdi-miR156f-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bdi-miR156g-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bdi-miR156h-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bdi-miR156i-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bna-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
bna-miR156e,124,125,4.272,4.5,1.0,7,8,10,109,16
bna-miR156f,124,125,4.272,4.5,1.0,7,8,10,109,16
bra-miR156a-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bra-miR156b-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bra-miR156c-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bra-miR156d-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bra-miR156e-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bra-miR156f-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
bra-miR156g-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
cca-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
cca-miR396b,124,125,4.34,4.5,2.0,0,2,8,114,11
cme-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
cme-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
cme-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
cme-miR156i,124,125,4.272,4.5,1.0,7,8,10,109,16
cpa-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
cpa-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
cpa-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
cpa-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
csi-miR156,124,125,4.272,4.5,1.0,7,8,10,109,16
ctr-miR156,124,125,4.272,4.5,1.0,7,8,10,109,16
dpr-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
esi-miR3457-3p,124,125,4.416,4.5,2.0,0,2,5,98,27
esi-miR3464-5p,124,125,4.54,4.5,3.0,0,0,2,104,21
ghr-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
ghr-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
ghr-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
gma-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
gma-miR156h,124,125,4.272,4.5,1.0,7,8,10,109,16
gma-miR156u,124,125,4.272,4.5,1.0,7,8,10,109,16
gma-miR156v,124,125,4.272,4.5,1.0,7,8,10,109,16
gma-miR156w,124,125,4.272,4.5,1.0,7,8,10,109,16
gma-miR156x,124,125,4.272,4.5,1.0,7,8,10,109,16
gma-miR156y,124,125,4.272,4.5,1.0,7,8,10,109,16
gma-miR166u,124,125,4.356,4.5,1.0,1,2,12,104,21
gra-miR8709c,124,125,4.524,4.5,3.0,0,0,4,110,15
han-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
han-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
har-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
htu-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156e,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156f,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156g,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156h,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156i,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156j,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156k,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156l,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156m,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156n,124,125,4.272,4.5,1.0,7,8,10,109,16
mdm-miR156o,124,125,4.272,4.5,1.0,7,8,10,109,16
mes-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
mes-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
mes-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
mes-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
mes-miR156e,124,125,4.272,4.5,1.0,7,8,10,109,16
mes-miR156f,124,125,4.272,4.5,1.0,7,8,10,109,16
mes-miR156g,124,125,4.272,4.5,1.0,7,8,10,109,16
mtr-miR156b-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
mtr-miR156c-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
mtr-miR156d-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
mtr-miR156i-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
nta-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
nta-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
nta-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
nta-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
nta-miR156e,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156b-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156c-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156e,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156f-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156g-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156h-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156i,124,125,4.272,4.5,1.0,7,8,10,109,16
osa-miR156j-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
ppt-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
ppt-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
ppt-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
ptc-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
ptc-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
ptc-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
ptc-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
ptc-miR156e,124,125,4.272,4.5,1.0,7,8,10,109,16
ptc-miR156f,124,125,4.272,4.5,1.0,7,8,10,109,16
sbi-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
sbi-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
sbi-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
sbi-miR156f,124,125,4.272,4.5,1.0,7,8,10,109,16
sbi-miR156g,124,125,4.272,4.5,1.0,7,8,10,109,16
sbi-miR156h,124,125,4.272,4.5,1.0,7,8,10,109,16
sbi-miR156i,124,125,4.272,4.5,1.0,7,8,10,109,16
sly-miR156d-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
sof-miR156,124,125,4.272,4.5,1.0,7,8,10,109,16
stu-miR156e,124,125,4.272,4.5,1.0,7,8,10,109,16
stu-miR156g-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
stu-miR156h-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
stu-miR156i-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
stu-miR156j-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
stu-miR156k-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
tcc-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
tcc-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
tcc-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
tcc-miR156g,124,125,4.272,4.5,1.0,7,8,10,109,16
vun-miR156a,124,125,4.272,4.5,1.0,7,8,10,109,16
vvi-miR156b,124,125,4.272,4.5,1.0,7,8,10,109,16
vvi-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
vvi-miR156d,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156a-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156b-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156c,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156d-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156e-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156f-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156g-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156h-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156i-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR156l-5p,124,125,4.272,4.5,1.0,7,8,10,109,16
zma-miR396g-5p,124,125,4.34,4.5,2.0,0,2,8,114,11
zma-miR396h,124,125,4.34,4.5,2.0,0,2,8,114,11
ath-miR5636,124,124,4.423387096774194,4.5,2.5,0,0,4,104,20
ddi-miR-7131c-5p,124,124,4.443548387096774,4.5,3.5,0,0,0,97,27
gra-miR8677,124,124,4.439516129032258,4.5,2.0,0,1,4,97,27
lja-miR7543,124,124,4.580645161290323,4.5,2.5,0,0,1,92,32
mtr-miR2663,124,124,4.548387096774194,4.5,2.5,0,0,5,83,41
mtr-miR2668,124,124,4.431451612903226,4.5,1.5,0,1,4,88,36
ppt-miR536f,124,124,4.558467741935484,4.5,3.0,0,0,2,108,16
ppt-miR1211-3p,123,134,4.354477611940299,4.5,2.5,0,0,5,112,22
osa-miR2925,123,132,4.5397727272727275,4.5,2.5,0,0,3,103,29
bdi-miR5165-5p,123,129,4.426356589147287,4.5,2.0,0,1,4,112,17
ath-miR5633,123,128,4.31640625,4.5,2.5,0,0,2,105,23
pab-miR3709b,123,128,4.375,4.5,2.0,0,1,7,104,24
aly-miR399c-5p,123,127,4.366141732283465,4.5,2.5,0,0,4,105,22
ath-miR399c-5p,123,127,4.366141732283465,4.5,2.5,0,0,4,105,22
bdi-miR7725b-5p.1,123,127,4.350393700787402,4.5,2.5,0,0,5,112,15
gma-miR171o-5p,123,127,4.610236220472441,5.0,3.5,0,0,0,99,28
lja-miR7540a,123,127,4.409448818897638,4.5,2.5,0,0,6,106,21
lja-miR7540b,123,127,4.409448818897638,4.5,2.5,0,0,6,106,21
sly-miR9476-3p,123,127,4.531496062992126,4.5,3.0,0,0,1,97,30
bdi-miR169h-3p,123,126,4.476190476190476,4.5,3.0,0,0,2,108,18
bdi-miR7739-3p,123,126,4.26984126984127,4.5,2.5,0,0,11,107,19
gma-miR156ab,123,126,4.412698412698413,4.5,3.0,0,0,1,106,20
mdm-miR399e,123,126,4.450396825396825,4.5,2.5,0,0,4,108,18
mdm-miR399f,123,126,4.450396825396825,4.5,2.5,0,0,4,108,18
mdm-miR399g,123,126,4.450396825396825,4.5,2.5,0,0,4,108,18
mdm-miR399h,123,126,4.450396825396825,4.5,2.5,0,0,4,108,18
mes-miR399e,123,126,4.450396825396825,4.5,2.5,0,0,4,108,18
ppt-miR1217-5p,123,126,4.448412698412699,4.5,2.0,0,1,2,104,22
ppt-miR2078,123,126,4.412698412698413,4.5,2.5,0,0,5,101,25
ptc-miR477a-3p,123,126,4.4563492063492065,4.5,3.0,0,0,4,109,17
vvi-miR156h,123,126,4.2103174603174605,4.5,0.0,7,8,10,106,20
vvi-miR167c,123,126,4.365079365079365,4.5,3.0,0,0,2,100,26
zma-miR399h-5p,123,126,4.404761904761905,4.5,2.5,0,0,6,100,26
ata-miR164b-3p,123,125,4.184,4.0,1.5,0,1,7,112,13
ath-miR866-3p,123,125,4.472,4.5,2.0,0,1,2,106,19
bdi-miR395j-5p,123,125,4.42,4.5,2.5,0,0,5,119,6
bra-miR9555b-5p,123,125,4.584,5.0,2.5,0,0,2,109,16
cme-miR166i,123,125,4.244,4.5,1.0,4,8,13,104,21
cre-miR1145.2,123,125,4.56,4.5,2.0,0,1,2,82,43
gma-miR156p,123,125,4.272,4.5,2.0,0,4,10,107,18
gma-miR156t,123,125,4.272,4.5,2.0,0,4,10,107,18
gma-miR2118a-3p,123,125,4.16,4.5,1.0,1,5,14,110,15
gma-miR2118b-3p,123,125,4.16,4.5,1.0,1,5,14,110,15
gma-miR5770a,123,125,4.42,4.5,2.5,0,0,5,100,25
gra-miR8656,123,125,4.452,4.5,2.5,0,0,5,100,25
