Gene_ID	Metabolite_Category	Description	SwissProt_Hit	NR_Hit	GOs	KEGG_Pathway
CcGene_05429	Cytochrome P450	Belongs to the cytochrome P450 family	sp|O81970|C71A9_SOYBN	XP_074333134.1	GO:0000162,GO:0002376,GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0005886,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006790,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0007275,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009314,GO:0009416,GO:0009605,GO:0009607,GO:0009617,GO:0009625,GO:0009628,GO:0009639,GO:0009641,GO:0009682,GO:0009683,GO:0009684,GO:0009759,GO:0009850,GO:0009851,GO:0009987,GO:0010114,GO:0010817,GO:0012505,GO:0016020,GO:0016043,GO:0016053,GO:0016143,GO:0016144,GO:0016491,GO:0016705,GO:0016709,GO:0018130,GO:0019438,GO:0019748,GO:0019752,GO:0019757,GO:0019758,GO:0019760,GO:0019761,GO:0022622,GO:0032501,GO:0032502,GO:0032787,GO:0033036,GO:0033037,GO:0033554,GO:0034641,GO:0034754,GO:0042343,GO:0042401,GO:0042430,GO:0042435,GO:0042445,GO:0042446,GO:0042545,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0044550,GO:0045087,GO:0045229,GO:0046219,GO:0046394,GO:0046483,GO:0048364,GO:0048731,GO:0048830,GO:0048856,GO:0050896,GO:0051179,GO:0051641,GO:0051704,GO:0051707,GO:0051716,GO:0052386,GO:0052482,GO:0052542,GO:0052543,GO:0052544,GO:0052545,GO:0055114,GO:0065007,GO:0065008,GO:0070727,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071944,GO:0072330,GO:0098542,GO:0099402,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901657,GO:1901659	ko00140,ko00380,ko00966,ko01100,ko01110,ko01210,ko04913,ko04917,ko04927,ko04934,map00140,map00380,map00966,map01100,map01110,map01210,map04913,map04917,map04927,map04934
CcGene_05430	Glycosyltransferase	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily	sp|O48947|CESA2_ARATH	KAK1371592.1	GO:0000003,GO:0000226,GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005887,GO:0005975,GO:0005976,GO:0006073,GO:0006996,GO:0007010,GO:0007017,GO:0007049,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009791,GO:0009825,GO:0009832,GO:0009833,GO:0009987,GO:0010154,GO:0010191,GO:0010192,GO:0010214,GO:0010330,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016049,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0022402,GO:0022414,GO:0030243,GO:0030244,GO:0030865,GO:0031122,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0032991,GO:0033692,GO:0034637,GO:0034645,GO:0040007,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043622,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046527,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0051273,GO:0051274,GO:0051301,GO:0061458,GO:0061640,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:0097435,GO:1901576,GO:1902494,GO:1903047,GO:1990234	-
CcGene_05437	Cytochrome P450	Belongs to the cytochrome P450 family	sp|Q9SBQ9|F3PH_PETHY	KAL8133595.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0009719,GO:0009725,GO:0009733,GO:0010033,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0042221,GO:0044550,GO:0050896,GO:0055114	ko00941,ko00944,ko01100,ko01110,map00941,map00944,map01100,map01110
CcGene_05515	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q9SGA8|U83A1_ARATH	XP_017215435.1	-	-
CcGene_05623	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q6VAA6|U74G1_STERE	KAK1395489.1	-	ko00380,ko00966,ko01110,ko01210,map00380,map00966,map01110,map01210
CcGene_05721	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q8L4B0|GAUTF_ARATH	KAK1404847.1	GO:0003674,GO:0003824,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0047262	-
CcGene_05756	Cytochrome P450	Cytochrome p450	sp|O48922|C98A2_SOYBN	KAL1828922.1	GO:0003674,GO:0003824,GO:0004497,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0005886,GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009698,GO:0009699,GO:0009804,GO:0009805,GO:0009808,GO:0009809,GO:0009812,GO:0009813,GO:0009987,GO:0012505,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0018130,GO:0019438,GO:0019748,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044249,GO:0044424,GO:0044444,GO:0044464,GO:0044550,GO:0046409,GO:0046483,GO:0055114,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901576	ko00940,ko00941,ko00945,ko01100,ko01110,map00940,map00941,map00945,map01100,map01110
CcGene_05760	Acyltransferase	glycerol-3-phosphate acyltransferase	sp|Q9FZ22|GPAT2_ARATH	KAL1832982.1	GO:0003674,GO:0003824,GO:0005575,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008374,GO:0009058,GO:0009059,GO:0009987,GO:0010143,GO:0016020,GO:0016311,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0016791,GO:0042578,GO:0043170,GO:0044237,GO:0071704,GO:0090447,GO:1901576	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110
CcGene_05773	Cytochrome P450	cytochrome P450	sp|A0A2Z5D850|C71Z3_PASSA	XP_017251671.1	-	ko00140,ko00380,ko00590,ko00591,ko00830,ko00980,ko01100,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00590,map00591,map00830,map00980,map01100,map04212,map04726,map04750,map04913,map04917,map04927,map04934,map05204
CcGene_05850	Glycosyltransferase	Glycosyltransferase	sp|Q3E7Q9|GLYT6_ARATH	KAL1831515.1	-	-
CcGene_05870	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|F8WKW1|UGT2_GARJA	XP_017222232.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0015020,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0050403,GO:0050502,GO:0080043,GO:0080044	-
CcGene_05903	Cytochrome P450	cytochrome P450	sp|A0A2Z5D850|C71Z3_PASSA	XP_017251671.1	-	ko00140,ko00380,ko00590,ko00591,ko00830,ko00980,ko01100,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00590,map00591,map00830,map00980,map01100,map04212,map04726,map04750,map04913,map04917,map04927,map04934,map05204
CcGene_05956	Glycosyltransferase	UDP-glycosyltransferase 83A1-like	sp|Q9SGA8|U83A1_ARATH	WOH05416.1	-	-
CcGene_06256	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A3Q7HS74|C71E6_SOLLC	KAK1371851.1	-	-
CcGene_06257	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A3Q7HS74|C71E6_SOLLC	KAL1808639.1	-	-
CcGene_06258	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A3Q7HS74|C71E6_SOLLC	XP_074337719.1	-	-
CcGene_06259	Cytochrome P450	Cytochrome p450	sp|A0A3Q7HS74|C71E6_SOLLC	XP_017245199.1	-	-
CcGene_06350	Cytochrome P450	cytochrome P450	sp|Q9C788|C70B1_ARATH	KAK1379566.1	GO:0003674,GO:0003824,GO:0004497,GO:0006725,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009555,GO:0009653,GO:0009987,GO:0010208,GO:0010584,GO:0010927,GO:0016043,GO:0016491,GO:0016705,GO:0016713,GO:0018685,GO:0019438,GO:0022607,GO:0030198,GO:0032501,GO:0032502,GO:0032989,GO:0043062,GO:0044085,GO:0044237,GO:0044249,GO:0045229,GO:0048229,GO:0048646,GO:0048856,GO:0048869,GO:0055114,GO:0071840,GO:0080110,GO:0085029	-
CcGene_06353	Acyltransferase	glycerol-3-phosphate acyltransferase	sp|Q9SYJ2|GPAT3_ARATH	WOG83843.1	GO:0003674,GO:0003824,GO:0005575,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008374,GO:0009058,GO:0009059,GO:0009987,GO:0010143,GO:0016020,GO:0016311,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0016791,GO:0042578,GO:0043170,GO:0044237,GO:0071704,GO:0090447,GO:1901576	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110
CcGene_06451	Glycosyltransferase	UDP-Glycosyltransferase	sp|F8WLS6|UGT6_CATRO	XP_017232287.1	-	-
CcGene_06491	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q8RXA5|CZOG2_MAIZE	XP_074367276.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009308,GO:0009653,GO:0009690,GO:0009791,GO:0009888,GO:0009889,GO:0009908,GO:0009965,GO:0009987,GO:0010015,GO:0010016,GO:0010073,GO:0010075,GO:0010083,GO:0010154,GO:0010380,GO:0010817,GO:0016740,GO:0016757,GO:0016758,GO:0016763,GO:0019222,GO:0019538,GO:0022414,GO:0022622,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0034645,GO:0034754,GO:0035251,GO:0035252,GO:0036211,GO:0040008,GO:0042285,GO:0042445,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0045926,GO:0046483,GO:0046527,GO:0048316,GO:0048364,GO:0048366,GO:0048367,GO:0048439,GO:0048507,GO:0048509,GO:0048519,GO:0048608,GO:0048638,GO:0048731,GO:0048827,GO:0048831,GO:0048856,GO:0050403,GO:0050404,GO:0050789,GO:0050793,GO:0050794,GO:0051171,GO:0051193,GO:0051239,GO:0061458,GO:0065007,GO:0065008,GO:0070085,GO:0071704,GO:0090056,GO:0090567,GO:0090698,GO:0099402,GO:1901135,GO:1901137,GO:1901401,GO:1901463,GO:1901564,GO:1901566,GO:1901576,GO:1905392,GO:1905613,GO:2000026	ko00908,map00908
CcGene_06492	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q8RXA5|CZOG2_MAIZE	XP_074367276.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009308,GO:0009653,GO:0009690,GO:0009791,GO:0009888,GO:0009889,GO:0009908,GO:0009965,GO:0009987,GO:0010015,GO:0010016,GO:0010073,GO:0010075,GO:0010083,GO:0010154,GO:0010380,GO:0010817,GO:0016740,GO:0016757,GO:0016758,GO:0016763,GO:0019222,GO:0019538,GO:0022414,GO:0022622,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0034645,GO:0034754,GO:0035251,GO:0035252,GO:0036211,GO:0040008,GO:0042285,GO:0042445,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0045926,GO:0046483,GO:0046527,GO:0048316,GO:0048364,GO:0048366,GO:0048367,GO:0048439,GO:0048507,GO:0048509,GO:0048519,GO:0048608,GO:0048638,GO:0048731,GO:0048827,GO:0048831,GO:0048856,GO:0050403,GO:0050404,GO:0050789,GO:0050793,GO:0050794,GO:0051171,GO:0051193,GO:0051239,GO:0061458,GO:0065007,GO:0065008,GO:0070085,GO:0071704,GO:0090056,GO:0090567,GO:0090698,GO:0099402,GO:1901135,GO:1901137,GO:1901401,GO:1901463,GO:1901564,GO:1901566,GO:1901576,GO:1905392,GO:1905613,GO:2000026	ko00908,ko01110,map00908,map01110
CcGene_06539	Cytochrome P450	cytochrome P450	sp|Q9FVS9|C96AF_ARATH	XP_017239258.1	-	-
CcGene_06615	Cytochrome P450	cytochrome P450	sp|Q50EK3|C04C1_PINTA	KAL8105732.1	-	-
CcGene_06640	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A3Q7HS74|C71E6_SOLLC	KAL1831064.1	-	-
CcGene_06641	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A3Q7HS74|C71E6_SOLLC	KAL1831062.1	-	-
CcGene_06642	Cytochrome P450	Belongs to the cytochrome P450 family	sp|A0A3Q7HS74|C71E6_SOLLC	WOG81897.1	-	-
CcGene_06707	Terpene Synthase	Terpene synthase, N-terminal domain	sp|K4LMW2|STS2_THAGA	XP_017240804.1	GO:0003674,GO:0003824,GO:0006629,GO:0006644,GO:0006720,GO:0006721,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0010333,GO:0010334,GO:0016829,GO:0016835,GO:0016838,GO:0019637,GO:0042214,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0045338,GO:0046246,GO:0047461,GO:0051761,GO:0051762,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901926,GO:1901928	ko00909,ko01100,ko01110,map00909,map01100,map01110
CcGene_06725	Acyltransferase	glycerol-3-phosphate acyltransferase	sp|Q9FZ22|GPAT2_ARATH	XP_017240353.2	GO:0003674,GO:0003824,GO:0005575,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008374,GO:0009058,GO:0009059,GO:0009987,GO:0010143,GO:0016020,GO:0016311,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0016791,GO:0042578,GO:0043170,GO:0044237,GO:0071704,GO:0090447,GO:1901576	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110
CcGene_06903	Cytochrome P450	Belongs to the cytochrome P450 family	sp|W8JIS5|IO_CATRO	KAL1819513.1	-	-
CcGene_07054	Glycosyltransferase	UDP-Glycosyltransferase	sp|F8WKW1|UGT2_GARJA	XP_017221193.1	-	-
CcGene_07349	Glycosyltransferase	Glycosyltransferase family 64 protein	sp|Q9LY62|GMT1_ARATH	XP_017223298.1	GO:0001101,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0005975,GO:0005976,GO:0006073,GO:0006629,GO:0006643,GO:0006665,GO:0006807,GO:0008150,GO:0008152,GO:0008194,GO:0008219,GO:0009664,GO:0009719,GO:0009725,GO:0009737,GO:0009888,GO:0009987,GO:0010033,GO:0010087,GO:0010383,GO:0010393,GO:0010395,GO:0010400,GO:0010401,GO:0012505,GO:0016043,GO:0016740,GO:0016757,GO:0016758,GO:0017144,GO:0030243,GO:0031410,GO:0031982,GO:0031984,GO:0032502,GO:0033993,GO:0035251,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044036,GO:0044042,GO:0044237,GO:0044238,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045229,GO:0045488,GO:0046527,GO:0048856,GO:0050896,GO:0051273,GO:0052541,GO:0052546,GO:0071554,GO:0071555,GO:0071669,GO:0071704,GO:0071840,GO:0097305,GO:0097708,GO:0098791,GO:1901564,GO:1901700	ko00534,ko01100,map00534,map01100
CcGene_07426	Glycosyltransferase	Glycosyltransferase-like	sp|Q9C9Z9|ELD1_ARATH	XP_017227088.1	GO:0000271,GO:0000902,GO:0001101,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0006109,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009314,GO:0009416,GO:0009505,GO:0009628,GO:0009653,GO:0009663,GO:0009664,GO:0009719,GO:0009725,GO:0009737,GO:0009743,GO:0009746,GO:0009749,GO:0009825,GO:0009826,GO:0009827,GO:0009831,GO:0009832,GO:0009888,GO:0009889,GO:0009987,GO:0010015,GO:0010033,GO:0010073,GO:0010074,GO:0010078,GO:0010215,GO:0010556,GO:0010675,GO:0010962,GO:0010981,GO:0012505,GO:0016020,GO:0016043,GO:0016049,GO:0016051,GO:0019222,GO:0019827,GO:0022607,GO:0022622,GO:0030154,GO:0030198,GO:0030243,GO:0030244,GO:0030312,GO:0031323,GO:0031326,GO:0031410,GO:0031982,GO:0031984,GO:0032501,GO:0032502,GO:0032881,GO:0032885,GO:0032950,GO:0032951,GO:0032989,GO:0033692,GO:0033993,GO:0034284,GO:0034330,GO:0034637,GO:0034645,GO:0040007,GO:0042221,GO:0042545,GO:0042546,GO:0042547,GO:0043062,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043255,GO:0044042,GO:0044085,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045216,GO:0045229,GO:0048364,GO:0048507,GO:0048589,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051273,GO:0051274,GO:0051716,GO:0060255,GO:0060560,GO:0065007,GO:0070726,GO:0071214,GO:0071478,GO:0071482,GO:0071554,GO:0071555,GO:0071668,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:0080090,GO:0097305,GO:0097708,GO:0098727,GO:0098791,GO:0099402,GO:0104004,GO:1901576,GO:1901700,GO:1903338,GO:1905392,GO:2000112,GO:2001006,GO:2001009	-
CcGene_07488	Cytochrome P450	Belongs to the cytochrome P450 family	sp|B9DFU2|MAX1_ARATH	XP_017236218.1	GO:0001763,GO:0006629,GO:0006720,GO:0006721,GO:0006810,GO:0007275,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009653,GO:0009889,GO:0009891,GO:0009893,GO:0009914,GO:0009926,GO:0009934,GO:0009962,GO:0009963,GO:0009987,GO:0010016,GO:0010223,GO:0010346,GO:0010817,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0019222,GO:0022603,GO:0032501,GO:0032502,GO:0042440,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0046148,GO:0048367,GO:0048509,GO:0048518,GO:0048646,GO:0048731,GO:0048856,GO:0050789,GO:0050793,GO:0051179,GO:0051234,GO:0060918,GO:0065007,GO:0065008,GO:0071704,GO:0080090,GO:1901576,GO:1905393	-
CcGene_07547	Glycosyltransferase	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily	sp|O48947|CESA2_ARATH	KAL1824866.1	GO:0000003,GO:0000226,GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005887,GO:0005975,GO:0005976,GO:0006073,GO:0006996,GO:0007010,GO:0007017,GO:0007049,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009791,GO:0009825,GO:0009832,GO:0009833,GO:0009987,GO:0010154,GO:0010191,GO:0010192,GO:0010214,GO:0010330,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016049,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0022402,GO:0022414,GO:0030243,GO:0030244,GO:0030865,GO:0031122,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0032991,GO:0033692,GO:0034637,GO:0034645,GO:0040007,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043622,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046527,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0051273,GO:0051274,GO:0051301,GO:0061458,GO:0061640,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:0097435,GO:1901576,GO:1902494,GO:1903047,GO:1990234	-
CcGene_07722	Acyltransferase	COG1247 Sortase and related acyltransferases	sp|Q9HUU7|MDDA_PSEAE	WP_443191497.1	-	ko00440,ko01130,map00440,map01130
CcGene_07867	Acyltransferase	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	sp|Q8H107|ODO2B_ARATH	KAL1814911.1	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008270,GO:0016020,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914	ko00020,ko00310,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00310,map01100,map01110,map01120,map01130,map01200
CcGene_07869	Acyltransferase	Contains the following InterPro domains Zinc finger, PHD-type, conserved site (InterPro IPR019786), Zinc finger, PHD-type (InterPro IPR001965), Zinc finger, FYVE PHD-type (InterPro IPR011011), Acyl-CoA N-acyltransferase (InterPro IPR016181), Zinc finger, PHD-finger (InterPro IPR019787)	sp|F4IXE7|IDM1_ARATH	KAL1822636.1	-	-
CcGene_07891	Acyltransferase	Phospholipid diacylglycerol acyltransferase	sp|Q9FYC7|PDAT2_ARATH	KAK1383077.1	-	ko00561,map00561
CcGene_08097	Cytochrome P450	Cytochrome p450	sp|O81973|C93A3_SOYBN	XP_074375461.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	ko00140,ko00380,ko00830,ko00943,ko00980,ko01100,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00830,map00943,map00980,map01100,map04913,map04917,map04927,map04934,map05204
CcGene_08150	Acyltransferase	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	sp|Q8H107|ODO2B_ARATH	XP_017254767.1	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008270,GO:0016020,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914	ko00020,ko00310,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00310,map01100,map01110,map01120,map01130,map01200
CcGene_08162	Cytochrome P450	Cytochrome P450	sp|H2DH17|C7A22_PANGI	KAL1807076.1	-	ko00905,map00905
CcGene_08284	Glycosyltransferase	Glycosyltransferase	sp|Q9M146|MGP4_ARATH	KAL8114095.1	GO:0000003,GO:0000271,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005975,GO:0005976,GO:0006464,GO:0006486,GO:0006807,GO:0008150,GO:0008152,GO:0008194,GO:0008378,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009664,GO:0009832,GO:0009856,GO:0009987,GO:0010306,GO:0010383,GO:0010393,GO:0010396,GO:0012505,GO:0016043,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016763,GO:0017144,GO:0019538,GO:0022414,GO:0032501,GO:0032502,GO:0033692,GO:0034637,GO:0034645,GO:0035250,GO:0035252,GO:0036211,GO:0042285,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044706,GO:0045229,GO:0045488,GO:0045489,GO:0048856,GO:0048868,GO:0051704,GO:0052325,GO:0052546,GO:0070085,GO:0070589,GO:0070592,GO:0071554,GO:0071555,GO:0071669,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	-
CcGene_08437	Acyltransferase	O-acyltransferase (WSD1-like)	sp|Q9M3B3|WSD4_ARATH	XP_017247712.1	-	-
CcGene_08439	Acyltransferase	O-acyltransferase (WSD1-like)	sp|Q5KS41|WSD11_ARATH	XP_017247712.1	-	-
CcGene_08484	Cytochrome P450	Belongs to the cytochrome P450 family	sp|O48786|C734A_ARATH	XP_063949148.1	GO:0003674,GO:0003824,GO:0004497,GO:0006629,GO:0008150,GO:0008152,GO:0008202,GO:0008395,GO:0009719,GO:0009725,GO:0009741,GO:0010033,GO:0010268,GO:0010817,GO:0014070,GO:0016128,GO:0016131,GO:0016491,GO:0033993,GO:0042221,GO:0042445,GO:0042592,GO:0044238,GO:0048878,GO:0050896,GO:0055088,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:1901360,GO:1901615,GO:1901700	ko04726,map04726
CcGene_08487	Acyltransferase	Acyltransferase	sp|Q8L7R3|LPCT1_ARATH	XP_017252378.1	GO:0000038,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005783,GO:0005794,GO:0006082,GO:0006629,GO:0006631,GO:0006644,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008374,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0012505,GO:0016740,GO:0016746,GO:0016747,GO:0019637,GO:0019752,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0047184,GO:0050200,GO:0071617,GO:0071618,GO:0071704,GO:0090407,GO:1901576	ko00564,ko00565,ko01100,map00564,map00565,map01100
CcGene_08809	Cytochrome P450	Belongs to the cytochrome P450 family	sp|P0DO85|10H_STRNX	XP_017220500.2	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0042221,GO:0044550,GO:0050896,GO:0051716,GO:0055114,GO:0070887,GO:0071241,GO:0071248,GO:0071281	ko00140,ko01100,ko04913,ko04917,ko04927,ko04934,map00140,map01100,map04913,map04917,map04927,map04934
