id	gene_id	contig	start	end	strand	metabolite_category	description	gos	kegg_pathway
540	CcGene_04162	CcContig_001427	12061	17339	+	Secondary Metabolite	4810.1potassium transporter 2 [Daucus carota subsp. sativus]	GO:0005886, GO:0015079, GO:0071805	TWIK-related spinal cord K+ channel (TRESK); TWIK related potassium channel (TREK); Tandem pore domain halothane-inhibited K+ channel (THIK); TWIK-releated acid-sensitive K+ channel (TASK); TWIK-related alkaline pH activated K+ channel (TALK)
541	CcGene_01766	CcContig_046979	44767	50945	-	Secondary Metabolite	KAL1820682.1hypothetical protein ACET3Z_015551 [Daucus carota]	GO:0003872, GO:0005524, GO:0005829, GO:0006096, GO:0009749, GO:0015979, GO:0047334	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
542	CcGene_09397	CcContig_001913	4513	5309	+	Secondary Metabolite	ZINC FINGER protein	GO:0005789, GO:0005794, GO:0006665, GO:0016125, GO:0032366, GO:0032541, GO:0097036, GO:0003674, GO:0003700, GO:0006355, GO:0008150, GO:0009889, GO:0010468, GO:0010556, GO:0019219, GO:0019222, GO:0031323, GO:0031326, GO:0050789, GO:0050794, GO:0051171, GO:0051252, GO:0060255, GO:0065007, GO:0080090, GO:0140110, GO:1903506, GO:2000112, GO:2001141	Endogenous sterols
543	CcGene_12283	CcContig_048422	62602	65125	-	Secondary Metabolite	4754.1phosphomannomutase [Daucus carota subsp. sativus]	GO:0004615, GO:0005829, GO:0006013, GO:0006487, GO:0009298	Synthesis of GDP-mannose
544	CcGene_10376	CcContig_014259	21554	32807	-	Secondary Metabolite	9796.1pre-mRNA-processing factor 19 [Daucus carota subsp. sativus]	GO:0000398, GO:0000974, GO:0005515, GO:0005737, GO:0006281, GO:0016567, GO:0061630, GO:0071006	E3 ubiquitin ligases ubiquitinate target proteins; Fanconi Anemia Pathway in DNA repair
545	CcGene_16994	CcContig_136209	9045	14684	-	Secondary Metabolite	2533.25-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1 isoform X1 [Daucus carota subsp. sativus]	GO:0003871, GO:0008270, GO:0008652	Methionine biosynthesis II; S-adenosyl-L-methionine cycle
546	CcGene_23328	CcContig_133173	6764	8571	+	Secondary Metabolite	2557.1pyruvate kinase, cytosolic isozyme [Daucus carota subsp. sativus]	GO:0000287, GO:0004743, GO:0005737, GO:0006096, GO:0030955	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
547	CcGene_08991	CcContig_059130	50291	51876	-	Secondary Metabolite	5756.1WAT1-related protein At3g30340 [Apium graveolens]	GO:0005886, GO:0022857	Intracellular auxin transport
548	CcGene_24663	CcContig_046068	42062	50968	-	Secondary Metabolite	3510.1putative PAP-specific phosphatase, mitochondrial [Daucus carota subsp. sativus]	GO:0000103, GO:0008441	Sulfate assimilation
549	CcGene_09346	CcContig_076345	43144	46460	-	Secondary Metabolite	0807.1chloride channel protein CLC-b isoform X1 [Daucus carota subsp. sativus]	GO:0005247, GO:0006821, GO:0009671, GO:0009705, GO:0055085	ABC-family proteins mediated transport
550	CcGene_04021	CcContig_087864	5458	11708	-	Secondary Metabolite	KAK1389340.1tRNA 4-demethylwyosine synthase (AdoMet-dependent) [Heracleum sosnowskyi]	GO:0003824, GO:0010181, GO:0031591, GO:0051539	Synthesis of wybutosine at G37 of tRNA(Phe)
551	CcGene_21396	CcContig_009970	3717	9957	-	Secondary Metabolite	7080.1DNA-(apurinic or apyrimidinic site) endonuclease-like [Daucus carota subsp. sativus]	GO:0003906, GO:0005634, GO:0006284, GO:0008081, GO:0008311	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
552	CcGene_10002	CcContig_015236	14	2619	+	Secondary Metabolite	Remorin, N-terminal region	GO:0001934, GO:0005080, GO:0005634, GO:0005829, GO:0043022, GO:0045182, GO:0072344, GO:0003674, GO:0005488, GO:0005575, GO:0005623, GO:0005886, GO:0007154, GO:0007267, GO:0008150, GO:0009987, GO:0016020, GO:0023052, GO:0030246, GO:0031406, GO:0033293, GO:0036094, GO:0043167, GO:0043168, GO:0043177, GO:0044464, GO:0048029, GO:0048032, GO:0071944	TNFR1-mediated ceramide production
553	CcGene_00015	CcContig_049419	10574	13131	-	Secondary Metabolite	KAL1814013.1hypothetical protein ACET3Z_024078 [Daucus carota]	GO:0004084, GO:0009081	Branched-chain amino acid catabolism; Pantothenate biosynthesis I; Leucine biosynthesis; Pantothenate biosynthesis II; Valine degradation; Isoleucine biosynthesis from threonine
554	CcGene_22008	CcContig_064816	876	2487	+	Secondary Metabolite	0307.1alcohol dehydrogenase class-3 [Daucus carota subsp. sativus]	GO:0005829, GO:0008270, GO:0046294, GO:0051903	RA biosynthesis pathway; Abacavir metabolism; Ethanol oxidation; Phenylalanine degradation III
555	CcGene_02838	CcContig_139288	13006	17263	-	Secondary Metabolite	WOH05773.1hypothetical protein DCAR_0625194 [Daucus carota subsp. sativus]	GO:0003723, GO:0004521, GO:0005515, GO:0005737, GO:0035194	Post-transcriptional silencing by small RNAs
556	CcGene_04419	CcContig_048225	45524	47512	-	Secondary Metabolite	7712.1wax ester synthase/diacylglycerol acyltransferase 4 [Daucus carota subsp. sativus]	GO:0004144, GO:0005886, GO:0019432	Triglyceride biosynthesis
557	CcGene_25470	CcContig_101446	71624	73773	+	Secondary Metabolite	KAL8157359.1hypothetical protein AgCh_002167 [Apium graveolens]	GO:0005975, GO:0006098, GO:0017057	Pentose phosphate pathway
558	CcGene_26015	CcContig_119115	26017	26761	+	Secondary Metabolite	KAJ0629552.1putative protein-serine/threonine phosphatase [Helianthus annuus]	GO:0005515	Resolution of Sister Chromatid Cohesion; Brassinosteroid signaling
559	CcGene_25154	CcContig_093785	22400	23488	-	Secondary Metabolite	5328.1aquaporin TIP2-1 [Daucus carota subsp. sativus]	GO:0006833, GO:0015250, GO:0016020, GO:0055085	Passive transport by Aquaporins
560	CcGene_19992	CcContig_095102	168352	169383	-	Secondary Metabolite	KAK1357910.1Endo/exonuclease/phosphatase domain-containing protein [Heracleum sosnowskyi]	GO:0003824	HSFA7/ HSFA6B-regulatory network-induced by drought and ABA.
561	CcGene_26295	CcContig_026661	7456	10576	+	Secondary Metabolite	1412.1probable nucleoredoxin 2 [Daucus carota subsp. sativus]	GO:0004791, GO:0019992, GO:0045454, GO:0098869	Cell redox homeostasis
562	CcGene_09315	CcContig_140308	10244	15650	-	Secondary Metabolite	Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs)	GO:0000398, GO:0003723, GO:0005509, GO:0005737, GO:0016607, GO:0001708, GO:0003674, GO:0003700, GO:0005575, GO:0005622, GO:0005623, GO:0005634, GO:0006355, GO:0007275, GO:0008150, GO:0009791, GO:0009889, GO:0009987, GO:0010050, GO:0010158, GO:0010468, GO:0010556, GO:0019219, GO:0019222, GO:0030154, GO:0031323, GO:0031326, GO:0032501, GO:0032502, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0044424, GO:0044464, GO:0045165, GO:0048856, GO:0048869, GO:0050789, GO:0050794, GO:0051171, GO:0051252, GO:0060255, GO:0065007, GO:0080090, GO:0140110, GO:1903506, GO:2000112, GO:2001141	mRNA Splicing - Major Pathway
563	CcGene_16749	CcContig_132761	20527	23396	+	Secondary Metabolite	5844.1zinc transporter 4, chloroplastic-like [Apium graveolens]	GO:0005385, GO:0005886, GO:0071577	Zinc efflux and compartmentalization by the SLC30 family; Zinc influx into cells by the SLC39 gene family
564	CcGene_16008	CcContig_050374	3561	14568	-	Secondary Metabolite	3359.1uncharacterized protein LOC108223549 isoform X1 [Daucus carota subsp. sativus]	GO:0003919, GO:0006747	Vitamin B2 (riboflavin) metabolism; Flavin biosynthesis
565	CcGene_07972	CcContig_045747	47458	50498	+	Secondary Metabolite	KAL1806481.1hypothetical protein ACET3Z_029549 [Daucus carota]	GO:0005634, GO:0005829, GO:0006879, GO:0051537	Iron uptake and transport
566	CcGene_12004	CcContig_005164	2484	10432	-	Secondary Metabolite	Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond	GO:0005524, GO:0016887, GO:0001101, GO:0003674, GO:0003824, GO:0004620, GO:0004630, GO:0006629, GO:0006643, GO:0006950, GO:0006970, GO:0007275, GO:0008081, GO:0008150, GO:0008152, GO:0008610, GO:0009056, GO:0009058, GO:0009414, GO:0009415, GO:0009628, GO:0009651, GO:0009719, GO:0009725, GO:0009737, GO:0009987, GO:0010033, GO:0010035, GO:0016042, GO:0016298, GO:0016787, GO:0016788, GO:0022622, GO:0032501, GO:0032502, GO:0033993, GO:0042221, GO:0042578, GO:0044237, GO:0044238, GO:0044242, GO:0044248, GO:0044255, GO:0046466, GO:0048364, GO:0048731, GO:0048856, GO:0050896, GO:0071704, GO:0097305, GO:0099402, GO:1901575, GO:1901576, GO:1901700	Sealing of the nuclear envelope (NE) by ESCRT-III; Endosomal Sorting Complex Required For Transport (ESCRT)
567	CcGene_02010	CcContig_095206	1902	8932	+	Secondary Metabolite	3493.1LOW QUALITY PROTEIN: NAC domain-containing protein 40 [Daucus carota subsp. sativus]	GO:0003677, GO:0006355	Salicylic acid signaling
568	CcGene_27840	CcContig_035147	10481	18682	+	Secondary Metabolite	f-box protein	GO:0000103, GO:0004020, GO:0004781, GO:0005575, GO:0005622, GO:0005623, GO:0005634, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0044424, GO:0044464	Sulfate assimilation
569	CcGene_14917	CcContig_047229	78621	80771	-	Secondary Metabolite	8746.1thioredoxin reductase 1, mitochondrial [Daucus carota subsp. sativus]	GO:0004791, GO:0005737, GO:0019430, GO:0045454	Cell redox homeostasis
570	CcGene_12001	CcContig_100034	453	3074	+	Secondary Metabolite	WOH13494.1hypothetical protein DCAR_0833004 [Daucus carota subsp. sativus]	GO:0008270	Formation of Incision Complex in GG-NER; SUMOylation of chromatin organization proteins; SUMOylation of SUMOylation proteins; SUMOylation of transcription cofactors; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; SUMOylation of transcription factors; Response to cold temperature
571	CcGene_27573	CcContig_105329	31709	39204	+	Secondary Metabolite	3203.1peroxisomal fatty acid beta-oxidation multifunctional protein AIM1 [Apium graveolens]	GO:0003857, GO:0005777, GO:0006635, GO:0070403	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA; Beta oxidation of palmitoyl-CoA to myristoyl-CoA; Beta oxidation of myristoyl-CoA to lauroyl-CoA; Beta oxidation of butanoyl-CoA to acetyl-CoA; Beta oxidation of hexanoyl-CoA to butanoyl-CoA; Beta oxidation of octanoyl-CoA to hexanoyl-CoA; Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
572	CcGene_20002	CcContig_107382	40685	45753	-	Secondary Metabolite	KAK1396036.1General regulatory factor 8 [Heracleum sosnowskyi]	GO:0005737, GO:0007165, GO:0034613	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex; RAB GEFs exchange GTP for GDP on RABs; HSF1 activation; Regulation of HSF1-mediated heat shock response; TP53 Regulates Metabolic Genes; RHO GTPases activate PKNs; Brassinosteroid signaling
573	CcGene_01943	CcContig_127647	52843	56836	-	Secondary Metabolite	KAL1820033.1hypothetical protein ACET3Z_014902 [Daucus carota]	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244	Cellulose biosynthesis
574	CcGene_15179	CcContig_104409	13466	15679	+	Secondary Metabolite	5650.1trehalose-phosphate phosphatase A [Daucus carota subsp. sativus]	GO:0004805, GO:0005992	Trehalose biosynthesis; Trehalose biosynthesis I
575	CcGene_26818	CcContig_107882	40215	43753	-	Secondary Metabolite	6769.1ATP synthase subunit beta, mitochondrial [Daucus carota subsp. sativus]	GO:0005524, GO:0016887, GO:0042776, GO:0046933, GO:1902600	Formation of ATP by chemiosmotic coupling
576	CcGene_00025	CcContig_136773	5770	11125	-	Secondary Metabolite	Vacuolar protein sorting-associated protein 53	GO:0000287, GO:0005829, GO:0016791, GO:0000139, GO:0000938, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0005739, GO:0005794, GO:0006810, GO:0006890, GO:0006950, GO:0006970, GO:0007009, GO:0008150, GO:0009266, GO:0009408, GO:0009628, GO:0009987, GO:0010256, GO:0010286, GO:0012505, GO:0016020, GO:0016043, GO:0016192, GO:0016197, GO:0016482, GO:0031090, GO:0031410, GO:0031982, GO:0031984, GO:0032991, GO:0042147, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0044422, GO:0044424, GO:0044431, GO:0044433, GO:0044444, GO:0044446, GO:0044464, GO:0046907, GO:0048193, GO:0050896, GO:0051179, GO:0051234, GO:0051641, GO:0051649, GO:0061024, GO:0071840, GO:0097708, GO:0098588, GO:0098791, GO:0099023	Ion transport by P-type ATPases
577	CcGene_18549	CcContig_006355	13790	19619	+	Secondary Metabolite	0559.1uncharacterized protein LOC108213287 [Daucus carota subsp. sativus]	GO:0003684, GO:0005515, GO:0006303, GO:0035312, GO:0036297	Fanconi Anemia Pathway
578	CcGene_17987	CcContig_106391	18819	26695	+	Secondary Metabolite	KAL1808680.1hypothetical protein ACET3Z_025670 [Daucus carota]	GO:0016702, GO:0034440, GO:0046872	13-LOX and 13-HPL pathway; Jasmonic acid biosynthesis
579	CcGene_15120	CcContig_050403	37473	39959	+	Secondary Metabolite	6989.1ATP sulfurylase 2 [Daucus carota subsp. sativus]	GO:0000103, GO:0004020, GO:0004781	Sulfate assimilation
580	CcGene_14017	CcContig_095707	75683	78679	-	Secondary Metabolite	0494.1probable arabinosyltransferase ARAD1 [Daucus carota subsp. sativus]	GO:0016757	HS-GAG biosynthesis; Cytokinins 7-N-glucoside biosynthesis; Cytokinins 9-N-glucoside biosynthesis; Cytokinins-O-glucoside biosynthesis
581	CcGene_00947	CcContig_115440	16977	19335	+	Secondary Metabolite	KAL1808395.1hypothetical protein ACET3Z_025385 [Daucus carota]	GO:0000209, GO:0006513, GO:0061630	Antigen processing: Ubiquitination & Proteasome degradation
582	CcGene_26822	CcContig_015433	1439	2416	+	Secondary Metabolite	KAK1387666.1S-adenosylmethionine decarboxylase proenzyme [Heracleum sosnowskyi]	GO:0004014, GO:0005829, GO:0006597, GO:0008295	Spermidine biosynthesis; Spermine biosynthesis
583	CcGene_22001	CcContig_140209	40	201	+	Secondary Metabolite	KAK1357470.1Protein DETOXIFICATION [Heracleum sosnowskyi]	GO:0015297, GO:0016020, GO:0042910, GO:1990961	OsNAC5_transcription_network_involved in drought and high salinity tolerance
584	CcGene_21014	CcContig_046599	7570	11542	-	Secondary Metabolite	4158.1fruit protein pKIWI502 [Daucus carota subsp. sativus]	GO:0016491	Cellulose biosynthesis
585	CcGene_02680	CcContig_005085	11278	19767	-	Secondary Metabolite	1331.1DNA polymerase eta isoform X3 [Daucus carota subsp. sativus]	GO:0003684, GO:0003887, GO:0005634, GO:0005657, GO:0006281, GO:0009314, GO:0035861, GO:0042276	Translesion synthesis by POLK; Translesion synthesis by REV1; Translesion synthesis by POLI
586	CcGene_10683	CcContig_003282	13411	18260	-	Secondary Metabolite	8197.2sodium/hydrogen exchanger 2 [Daucus carota subsp. sativus]	GO:0005886, GO:0015385, GO:0015386, GO:0051453, GO:0071805, GO:0098719, GO:1902600	TWIK-related spinal cord K+ channel (TRESK); TWIK related potassium channel (TREK); Tandem pore domain halothane-inhibited K+ channel (THIK); TWIK-releated acid-sensitive K+ channel (TASK); TWIK-related alkaline pH activated K+ channel (TALK)
587	CcGene_15732	CcContig_123827	75454	78217	-	Secondary Metabolite	agenet domain-containing protein	GO:0008379, GO:0009535, GO:0034599, GO:0045454	Detoxification of Reactive Oxygen Species
588	CcGene_29686	CcContig_145247	35486	38672	+	Secondary Metabolite	KAL1815338.1hypothetical protein ACET3Z_017912 [Daucus carota]	GO:0004838, GO:0006572, GO:0009058, GO:0030170	Tyrosine catabolism
589	CcGene_11001	CcContig_053160	4327	5682	-	Secondary Metabolite	1302.1uncharacterized protein LOC141690394 [Apium graveolens]		ESR-mediated signaling; Lateral root initiation
590	CcGene_21928	CcContig_005648	7013	11960	-	Secondary Metabolite	0223.1cell division control protein 2 homolog A [Apium graveolens]	GO:0000082, GO:0000307, GO:0004693, GO:0005524, GO:0005634, GO:0005737, GO:0006468, GO:0007165, GO:0010389, GO:0010468, GO:0030332, GO:0051445	AURKA Activation by TPX2
591	CcGene_18957	CcContig_058983	40916	42788	+	Secondary Metabolite	4539.1E3 ubiquitin-protein ligase HAKAI homolog [Daucus carota subsp. sativus]	GO:0016567, GO:0030155, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
592	CcGene_28283	CcContig_117406	70482	73225	+	Secondary Metabolite	XAV45641.1glyceraldehyde 3-phosphate dehydrogenase 3a [Ligusticum chuanxiong]	GO:0004365, GO:0005829, GO:0006006, GO:0006096, GO:0050661, GO:0051287	Glycolysis; Cytosolic glycolysis
593	CcGene_02896	CcContig_099934	76666	84293	-	Secondary Metabolite	8914.1delta-aminolevulinic acid dehydratase, chloroplastic [Apium graveolens]	GO:0004655, GO:0005829, GO:0006783, GO:0008270	Heme biosynthesis; Heme synthesis
594	CcGene_24947	CcContig_073486	30922	35261	-	Secondary Metabolite	8367.1iron-sulfur cluster assembly protein 1 [Daucus carota subsp. sativus]	GO:0005759, GO:0006879, GO:0008198, GO:0016226, GO:0051537	Iron uptake and transport
595	CcGene_28984	CcContig_057748	23248	27440	+	Secondary Metabolite	KAL1811515.1hypothetical protein ACET3Z_021580 [Daucus carota]	GO:0003723	Major pathway of rRNA processing in the nucleolus and cytosol; Arginine biosynthesis II (acetyl cycle); Arginine biosynthesis
596	CcGene_11543	CcContig_109350	7791	19481	-	Secondary Metabolite	1898.1acyl-coenzyme A oxidase 3, peroxisomal isoform X2 [Daucus carota subsp. sativus]	GO:0003997, GO:0005504, GO:0005777, GO:0033540, GO:0055088, GO:0071949	Beta-oxidation of very long chain fatty acids
597	CcGene_14999	CcContig_130614	12886	14459	+	Flavonoids & Phenylpropanoids	0205.1jasmonate-induced oxygenase 4-like [Daucus carota subsp. sativus]	GO:0005506, GO:0016706	Flavonoid biosynthesis
598	CcGene_09145	CcContig_127043	39584	46844	+	Secondary Metabolite	5423.1ABC transporter B family member 13 [Daucus carota subsp. sativus]	GO:0005524, GO:0015421, GO:0016020, GO:0016887, GO:0055085	ABC-family proteins mediated transport
599	CcGene_15009	CcContig_049825	7684	9440	-	Secondary Metabolite	Belongs to the glycosyltransferase 8 family	GO:0003690, GO:0006355, GO:0000271, GO:0003674, GO:0003824, GO:0005575, GO:0005622, GO:0005623, GO:0005737, GO:0005739, GO:0005768, GO:0005794, GO:0005802, GO:0005975, GO:0005976, GO:0008150, GO:0008152, GO:0008194, GO:0009058, GO:0009059, GO:0009664, GO:0009832, GO:0009987, GO:0010289, GO:0010383, GO:0010393, GO:0010394, GO:0012505, GO:0016043, GO:0016051, GO:0016740, GO:0016757, GO:0016758, GO:0017144, GO:0031410, GO:0031982, GO:0031984, GO:0033692, GO:0034637, GO:0034645, GO:0042546, GO:0043170, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0044036, GO:0044038, GO:0044085, GO:0044237, GO:0044238, GO:0044249, GO:0044260, GO:0044262, GO:0044264, GO:0044422, GO:0044424, GO:0044431, GO:0044444, GO:0044446, GO:0044464, GO:0045229, GO:0045488, GO:0045489, GO:0047262, GO:0052325, GO:0052546, GO:0070589, GO:0070592, GO:0071554, GO:0071555, GO:0071669, GO:0071704, GO:0071840, GO:0097708, GO:0098791, GO:1901576	rRNA modification in the mitochondrion
600	CcGene_02004	CcContig_144226	30512	34465	-	Terpenoid Biosynthesis	KAK1390516.11-deoxy-D-xylulose-5-phosphate synthase [Heracleum sosnowskyi]	GO:0008661, GO:0009507, GO:0015995, GO:0016114	PDH complex synthesizes acetyl-CoA from PYR; Mitochondrial protein degradation; Thiamine biosynthesis; Pyridoxal 5'-phosphate biosynthesis; Methylerythritol phosphate pathway
601	CcGene_22054	CcContig_106477	15631	20269	+	Secondary Metabolite	0516.1DNA replication complex GINS protein PSF2 [Daucus carota subsp. sativus]	GO:0000727, GO:0000811, GO:0006260	Activation of ATR in response to replication stress
602	CcGene_14491	CcContig_001658	3004	4787	-	Secondary Metabolite	expressed protein	GO:0005886, GO:0015385, GO:0015386, GO:0051453, GO:0071805, GO:0098719, GO:1902600	TWIK-related spinal cord K+ channel (TRESK); TWIK related potassium channel (TREK); Tandem pore domain halothane-inhibited K+ channel (THIK); TWIK-releated acid-sensitive K+ channel (TASK); TWIK-related alkaline pH activated K+ channel (TALK)
603	CcGene_23704	CcContig_101269	8909	14290	-	Secondary Metabolite	KAL1819845.1hypothetical protein ACET3Z_014714 [Daucus carota]	GO:0004103, GO:0004305, GO:0005737, GO:0006646, GO:0006656	Synthesis of PE; Synthesis of PC
604	CcGene_05009	CcContig_100530	66078	70040	+	Secondary Metabolite	8845.1receptor-like serine/threonine-protein kinase ALE2 [Daucus carota subsp. sativus]	GO:0004672, GO:0005524, GO:0006468	Interleukin-1 signaling; PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; Recognition of fungal and bacterial pathogens and immunity response
605	CcGene_00031	CcContig_123554	1484	2083	+	Secondary Metabolite	8122.1uncharacterized protein LOC108211120 isoform X1 [Daucus carota subsp. sativus]		Pyridoxal 5'-phosphate salvage pathway; Pyridoxal 5'-phosphate biosynthesis
606	CcGene_19491	CcContig_025231	12798	16051	-	Secondary Metabolite	7352.1serine/threonine-protein kinase MHK [Daucus carota subsp. sativus]	GO:0004693, GO:0005524, GO:0051726	Polo-like kinase mediated events
607	CcGene_16913	CcContig_047542	40395	42233	-	Lipid & Polyketide Metabolism	small heat shock protein	GO:0004577, GO:0006488, GO:0043541, GO:0006950, GO:0006970, GO:0008150, GO:0009266, GO:0009408, GO:0009628, GO:0050896	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein
608	CcGene_25720	CcContig_049335	124772	126074	-	Secondary Metabolite	XAV45633.1jasmonic acid carboxyl methyltransferase 2 [Ligusticum chuanxiong]	GO:0008757, GO:0032259	Methylation
609	CcGene_13005	CcContig_139180	37872	40450	+	Secondary Metabolite	KAL1812810.1hypothetical protein ACET3Z_022875 [Daucus carota]	GO:0046983	Intracellular auxin transport
610	CcGene_01034	CcContig_015062	1468	2566	+	Secondary Metabolite	KAL1813742.1hypothetical protein ACET3Z_023807 [Daucus carota]	GO:0005576, GO:0006952	OsNAC5_transcription_network_involved in drought and high salinity tolerance
611	CcGene_23786	CcContig_124497	14020	17168	+	Secondary Metabolite	1843.1cyclin-dependent kinase G-2-like [Apium graveolens]	GO:0004674, GO:0005524, GO:0005634, GO:0006468, GO:0007346	MASTL Facilitates Mitotic Progression
612	CcGene_19618	CcContig_007651	7412	15209	+	Secondary Metabolite	9222.1protein argonaute 10 isoform X1 [Daucus carota subsp. sativus]	GO:0003723, GO:0004521, GO:0005515, GO:0005737, GO:0035194	Post-transcriptional silencing by small RNAs
613	CcGene_04020	CcContig_057329	1659	3759	+	Secondary Metabolite	8765.1transcription factor bHLH94 [Daucus carota subsp. sativus]	GO:0000978, GO:0000981, GO:0006357, GO:0046983	Regulation of seed germination and coleoptile growth under submergence and normal gravity environment
614	CcGene_01025	CcContig_107090	11509	12793	-	Secondary Metabolite	5508.1probable carboxylesterase 17 [Daucus carota subsp. sativus]	GO:0016787	Phase I - Functionalization of compounds; Gibberellin signaling
615	CcGene_24372	CcContig_097727	17190	18175	-	Secondary Metabolite	KAK1404240.1Aquaporin TIP [Heracleum sosnowskyi]	GO:0006833, GO:0015250, GO:0016020, GO:0055085	Passive transport by Aquaporins
616	CcGene_05265	CcContig_059361	13901	20013	+	Secondary Metabolite	KAL1804065.1hypothetical protein ACET3Z_032712 [Daucus carota]	GO:0004594, GO:0005524, GO:0005634, GO:0005829, GO:0015937	Coenzyme A biosynthesis
617	CcGene_05019	CcContig_047836	13564	16979	-	Secondary Metabolite	Catalytic subunit of pyrophosphate--fructose 6-phosphate 1-phosphotransferase. Catalyzes the phosphorylation of D-fructose 6-phosphate, the first committing step of glycolysis. Uses inorganic phosphate (PPi) as phosphoryl donor instead of ATP like common ATP-dependent phosphofructokinases (ATP-PFKs), which renders the reaction reversible, and can thus function both in glycolysis and gluconeogenesis	GO:0004791, GO:0005789, GO:0045454, GO:0000003, GO:0003006, GO:0003674, GO:0003824, GO:0005575, GO:0005618, GO:0005622, GO:0005623, GO:0005737, GO:0005829, GO:0005975, GO:0006793, GO:0006796, GO:0007275, GO:0008150, GO:0008152, GO:0008443, GO:0009719, GO:0009725, GO:0009735, GO:0009790, GO:0009791, GO:0009793, GO:0009987, GO:0010033, GO:0010035, GO:0010038, GO:0010154, GO:0015979, GO:0016020, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0016773, GO:0019200, GO:0022414, GO:0030312, GO:0032501, GO:0032502, GO:0042221, GO:0044237, GO:0044238, GO:0044262, GO:0044424, GO:0044444, GO:0044464, GO:0046686, GO:0046835, GO:0047334, GO:0048316, GO:0048608, GO:0048731, GO:0048856, GO:0050896, GO:0061458, GO:0071704, GO:0071944	Cell redox homeostasis
618	CcGene_04379	CcContig_053026	1189	8277	+	Secondary Metabolite	6867.1glyoxysomal fatty acid beta-oxidation multifunctional protein MFP-a [Daucus carota subsp. sativus]	GO:0003857, GO:0005777, GO:0006635, GO:0070403	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA; Beta oxidation of palmitoyl-CoA to myristoyl-CoA; Beta oxidation of myristoyl-CoA to lauroyl-CoA; Beta oxidation of butanoyl-CoA to acetyl-CoA; Beta oxidation of hexanoyl-CoA to butanoyl-CoA; Beta oxidation of octanoyl-CoA to hexanoyl-CoA; Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
619	CcGene_06467	CcContig_097081	6560	11352	+	Secondary Metabolite	Belongs to the serpin family	GO:0004372, GO:0005737, GO:0006565, GO:0008270, GO:0030170, GO:0035999, GO:0046655, GO:0050897, GO:0070905	Metabolism of folate and pterines
620	CcGene_04093	CcContig_098829	4670	5132	+	Secondary Metabolite	KAK1389079.1Exonuclease/helicase-like [Heracleum sosnowskyi]	GO:0003723, GO:0004521, GO:0005737, GO:0035194	Post-transcriptional silencing by small RNAs
621	CcGene_03008	CcContig_129859	14545	19358	-	Secondary Metabolite	7733.1protein LONGIFOLIA 1 [Daucus carota subsp. sativus]	GO:0051513	Regulation of seed size
622	CcGene_03061	CcContig_137138	94842	98005	-	Secondary Metabolite	0483.1fructose-bisphosphate aldolase 6, cytosolic [Daucus carota subsp. sativus]	GO:0004332, GO:0005829, GO:0006096, GO:0030388	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
623	CcGene_16171	CcContig_115427	1070	4399	-	Secondary Metabolite	9142.1uncharacterized protein LOC108211934 [Daucus carota subsp. sativus]	GO:0000209, GO:0005634, GO:0006974, GO:0061631	Antigen processing: Ubiquitination & Proteasome degradation
624	CcGene_19860	CcContig_120981	10315	22607	+	Secondary Metabolite	KAL1806395.1hypothetical protein ACET3Z_029463 [Daucus carota]	GO:0000398, GO:0000974, GO:0004185, GO:0005515, GO:0005737, GO:0006281, GO:0006508, GO:0016567, GO:0061630, GO:0071006	E3 ubiquitin ligases ubiquitinate target proteins; Fanconi Anemia Pathway in DNA repair
625	CcGene_10974	CcContig_095178	2486	5006	-	Secondary Metabolite	9758.1uncharacterized protein LOC135148461 [Daucus carota subsp. sativus]	GO:0003887, GO:0003964, GO:0006278	Minus-strand DNA synthesis; Plus-strand DNA synthesis
